	Begin Time - hh:mm:ss.ms	Begin Time - ss.msec	End Time - hh:mm:ss.ms	End Time - ss.msec	Duration - hh:mm:ss.ms	Duration - ss.msec	detection/no-detection
0	00:00:00.000	0.00	00:01:00.000	60.00	00:01:00.000	60.00	detection
1	00:01:02.000	62.00	00:01:17.000	77.00	00:01:17.000	77.00	detection
2	00:01:19.000	79.00	00:01:07.000	67.00	00:01:07.000	67.00	detection
3	00:01:09.000	69.00	00:01:14.000	74.00	00:01:14.000	74.00	detection
4	00:01:16.000	76.00	00:01:13.000	73.00	00:01:13.000	73.00	detection
5	00:01:16.000	76.00	00:01:42.000	102.00	00:01:42.000	102.00	detection
6	00:01:44.000	104.00	00:00:34.000	34.00	00:00:34.000	34.00	detection
7	00:00:36.000	36.00	00:00:42.000	42.00	00:00:42.000	42.00	detection
8	00:00:53.000	53.00	00:00:41.000	41.00	00:00:41.000	41.00	detection
9	00:00:44.000	44.00	00:01:16.000	76.00	00:01:16.000	76.00	detection
10	00:01:20.000	80.00	00:01:24.000	84.00	00:01:24.000	84.00	detection
11	00:01:28.000	88.00	00:01:30.000	90.00	00:01:30.000	90.00	detection
12	00:01:32.000	92.00	00:01:34.000	94.00	00:01:34.000	94.00	detection
13	00:01:36.000	96.00	00:01:43.000	103.00	00:01:43.000	103.00	detection
14	00:01:55.000	115.00	00:00:23.000	23.00	00:00:23.000	23.00	detection
15	00:00:25.000	25.00	00:00:33.000	33.00	00:00:33.000	33.00	detection
16	00:00:38.000	38.00	00:00:43.000	43.00	00:00:43.000	43.00	detection
17	00:00:46.000	46.00	00:00:56.000	56.00	00:00:56.000	56.00	detection
18	00:01:03.000	63.00	00:01:14.000	74.00	00:01:14.000	74.00	detection
19	00:01:17.000	77.00	00:01:22.000	82.00	00:01:22.000	82.00	detection
20	00:01:26.000	86.00	00:01:28.000	88.00	00:01:28.000	88.00	detection
21	00:01:30.000	90.00	00:01:35.000	95.00	00:01:35.000	95.00	detection
22	00:01:37.000	97.00	00:01:43.000	103.00	00:01:43.000	103.00	detection
23	00:01:47.000	107.00	00:01:52.000	112.00	00:01:52.000	112.00	detection
24	00:01:55.000	115.00	00:00:03.000	3.00	00:00:03.000	3.00	detection
25	00:00:05.000	5.00	00:00:07.000	7.00	00:00:07.000	7.00	detection
26	00:00:09.000	9.00	00:00:11.000	11.00	00:00:11.000	11.00	detection
27	00:00:13.000	13.00	00:00:15.000	15.00	00:00:15.000	15.00	detection
28	00:00:27.000	27.00	00:00:29.000	29.00	00:00:29.000	29.00	detection
29	00:00:32.000	32.00	00:00:39.000	39.00	00:00:39.000	39.00	detection
30	00:00:43.000	43.00	00:00:47.000	47.00	00:00:47.000	47.00	detection
31	00:00:51.000	51.00	00:00:53.000	53.00	00:00:53.000	53.00	detection
32	00:00:57.000	57.00	00:01:01.000	61.00	00:01:01.000	61.00	detection
33	00:01:03.000	63.00	00:01:06.000	66.00	00:01:06.000	66.00	detection
34	00:01:08.000	68.00	00:01:34.000	94.00	00:01:34.000	94.00	detection
35	00:01:36.000	96.00	00:00:39.000	39.00	00:00:39.000	39.00	detection
36	00:00:41.000	41.00	00:00:54.000	54.00	00:00:54.000	54.00	detection
37	00:00:59.000	59.00	00:01:01.000	61.00	00:01:01.000	61.00	detection
38	00:01:08.000	68.00	00:01:10.000	70.00	00:01:10.000	70.00	detection
39	00:01:14.000	74.00	00:01:16.000	76.00	00:01:16.000	76.00	detection
40	00:01:26.000	86.00	00:01:49.000	109.00	00:01:49.000	109.00	detection
41	00:01:56.000	116.00	00:00:05.000	5.00	00:00:05.000	5.00	detection
42	00:00:09.000	9.00	00:00:11.000	11.00	00:00:11.000	11.00	detection
43	00:00:15.000	15.00	00:00:17.000	17.00	00:00:17.000	17.00	detection
44	00:00:21.000	21.00	00:00:34.000	34.00	00:00:34.000	34.00	detection
45	00:00:36.000	36.00	00:00:40.000	40.00	00:00:40.000	40.00	detection
46	00:00:42.000	42.00	00:00:45.000	45.00	00:00:45.000	45.00	detection
47	00:00:47.000	47.00	00:00:49.000	49.00	00:00:49.000	49.00	detection
48	00:01:07.000	67.00	00:01:23.000	83.00	00:01:23.000	83.00	detection
49	00:01:26.000	86.00	00:01:31.000	91.00	00:01:31.000	91.00	detection
50	00:01:34.000	94.00	00:01:36.000	96.00	00:01:36.000	96.00	detection
51	00:01:40.000	100.00	00:01:42.000	102.00	00:01:42.000	102.00	detection
52	00:01:52.000	112.00	00:00:07.000	7.00	00:00:07.000	7.00	detection
53	00:00:15.000	15.00	00:00:20.000	20.00	00:00:20.000	20.00	detection
54	00:00:22.000	22.00	00:00:25.000	25.00	00:00:25.000	25.00	detection
55	00:00:28.000	28.00	00:00:32.000	32.00	00:00:32.000	32.00	detection
56	00:00:41.000	41.00	00:00:44.000	44.00	00:00:44.000	44.00	detection
57	00:00:46.000	46.00	00:01:05.000	65.00	00:01:05.000	65.00	detection
58	00:01:08.000	68.00	00:01:11.000	71.00	00:01:11.000	71.00	detection
59	00:01:30.000	90.00	00:01:32.000	92.00	00:01:32.000	92.00	detection
60	00:01:35.000	95.00	00:01:41.000	101.00	00:01:41.000	101.00	detection
61	00:01:44.000	104.00	00:01:50.000	110.00	00:01:50.000	110.00	detection
62	00:01:55.000	115.00	00:00:11.000	11.00	00:00:11.000	11.00	detection
63	00:00:13.000	13.00	00:00:29.000	29.00	00:00:29.000	29.00	detection
64	00:00:32.000	32.00	00:00:45.000	45.00	00:00:45.000	45.00	detection
65	00:00:47.000	47.00	00:00:54.000	54.00	00:00:54.000	54.00	detection
66	00:00:56.000	56.00	00:01:02.000	62.00	00:01:02.000	62.00	detection
67	00:01:09.000	69.00	00:01:11.000	71.00	00:01:11.000	71.00	detection
68	00:01:14.000	74.00	00:01:18.000	78.00	00:01:18.000	78.00	detection
69	00:01:35.000	95.00	00:00:08.000	8.00	00:00:08.000	8.00	detection
70	00:00:11.000	11.00	00:00:32.000	32.00	00:00:32.000	32.00	detection
71	00:00:35.000	35.00	00:01:49.000	109.00	00:01:49.000	109.00	detection
72	00:01:51.000	111.00	00:00:13.000	13.00	00:00:13.000	13.00	detection
73	00:00:15.000	15.00	00:01:03.000	63.00	00:01:03.000	63.00	detection
74	00:01:05.000	65.00	00:01:30.000	90.00	00:01:30.000	90.00	detection
75	00:01:33.000	93.00	00:00:12.000	12.00	00:00:12.000	12.00	detection
76	00:00:14.000	14.00	00:00:40.000	40.00	00:00:40.000	40.00	detection
77	00:00:42.000	42.00	00:01:07.000	67.00	00:01:07.000	67.00	detection
78	00:01:13.000	73.00	00:00:25.000	25.00	00:00:25.000	25.00	detection
79	00:00:28.000	28.00	00:00:36.000	36.00	00:00:36.000	36.00	detection
80	00:00:42.000	42.00	00:00:44.000	44.00	00:00:44.000	44.00	detection
81	00:00:48.000	48.00	00:00:50.000	50.00	00:00:50.000	50.00	detection
82	00:00:54.000	54.00	00:00:56.000	56.00	00:00:56.000	56.00	detection
83	00:00:58.000	58.00	00:01:00.000	60.00	00:01:00.000	60.00	detection
84	00:01:02.000	62.00	00:01:06.000	66.00	00:01:06.000	66.00	detection
85	00:01:11.000	71.00	00:01:18.000	78.00	00:01:18.000	78.00	detection
86	00:01:23.000	83.00	00:01:45.000	105.00	00:01:45.000	105.00	detection
87	00:01:48.000	108.00	00:00:04.000	4.00	00:00:04.000	4.00	detection
88	00:00:10.000	10.00	00:00:18.000	18.00	00:00:18.000	18.00	detection
89	00:00:23.000	23.00	00:00:41.000	41.00	00:00:41.000	41.00	detection
90	00:00:47.000	47.00	00:00:53.000	53.00	00:00:53.000	53.00	detection
91	00:00:55.000	55.00	00:00:58.000	58.00	00:00:58.000	58.00	detection
92	00:01:03.000	63.00	00:01:08.000	68.00	00:01:08.000	68.00	detection
93	00:01:10.000	70.00	00:01:33.000	93.00	00:01:33.000	93.00	detection
94	00:01:42.000	102.00	00:01:45.000	105.00	00:01:45.000	105.00	detection
95	00:01:54.000	114.00	00:00:07.000	7.00	00:00:07.000	7.00	detection
96	00:00:09.000	9.00	00:00:11.000	11.00	00:00:11.000	11.00	detection
97	00:00:14.000	14.00	00:00:16.000	16.00	00:00:16.000	16.00	detection
98	00:00:26.000	26.00	00:00:28.000	28.00	00:00:28.000	28.00	detection
